id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
1189;The Madrid Edition;DemoEM;1189;El edificio que albergaba el Monte de Piedad, ubicado en la plaza de las Descalzas, deja de ser un lugar de empeños, para convertirse en un alojamiento de lujo. Para su nuevo uso ha sido completamente renovado, pero se ha conservado en su facha;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/the-madrid-edition-final-rendering-exterior-3-scaled_1_0.jpg;-3.706468100000;40.418273900000;;;Accommodation;Hoteles,
1190;Oxygen Hostel;DemoEM;1190;En una inmejorable situación, muy cerca de Atocha y del Paseo del Arte, se encuentra este hotel cápsula, el primero en ofrecer un estilo&nbsp,de alojamiento&nbsp,futurista y low cost en Madrid.Disponen de 22 cápsulas, 10 dobles y 12 sencillas, ;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/oxigen_hostle.png;-3.692084400000;40.403528800000;;;Accommodation;Hostales,
1191;Canopy by Hilton Madrid Castellana ;DemoEM;1191;Canopy by Hilton Madrid Castellana está situado en la plaza Carlos Trías Bertrán, en pleno barrio de la Castellana, muy cerca del Estadio Santiago Bernabéu y del complejo AZCA.Este hotel boutique, perteneciente a la marca lifestyle de Hilton, i;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/canopy_hilton-m_yllera-157.jpg;-3.693585400000;40.451381600000;;;Accommodation;Hoteles,
1192;Atocha Hotel Madrid, Tapestry Collection by Hilton;DemoEM;1192;A unos pasos del Paseo del Arte y de la estación de Atocha, se encuentra este alojamiento&nbsp,de la marca hotelera Tapestry by Hilton.Este hotel boutique, el primero de la marca Tapestry que se instala en España y fuera de América, cuenta con ;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/sin_titulo.png;-3.695301100000;40.410605900000;;;Accommodation;Hoteles,
1193;Hard Rock Hotel Madrid;DemoEM;1193;A unos pasos de la Estación de Atocha y el Paseo del Arte, tiene su ubicación el nuevo hotel de la cadena Hard Rock Internacional.Este cuatro estrellas, en el que la música tiene un especial protagonismo, cuenta con 161 habitaciones y suites, i;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/hard_rock_hotel_15.png;-3.695527500000;40.406521900000;;;Accommodation;Hoteles,
1194;Hotel Novotel Madrid City Las Ventas ;DemoEM;1194;Novotel Madrid City las Ventas es un hotel dinámico y cosmopolita&nbsp,situado muy cerca del aeropuerto y de IFEMA MADRID y con una estupenda comunicación con&nbsp,Madrid centro.Sus 156 habitaciones son espaciosas y de diseño contemporáneo. Tod;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/5978-46.jpg;-3.657559700000;40.441308900000;;;Accommodation;Hoteles,
1195;Pestana CR7 Gran V&iacute,a Madrid;DemoEM;1195;La Gran Vía madrileña ha sido enclave escogido para la apertura del primer hotel de Cristiano Ronaldo fuera de Portugal.&nbsp,Este edificio de 1920 totalmente rehabilitado, cuenta con 168 habitaciones, divididas en nueve categorías y equipadas ;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/gran-via-madrid-rooftop-render.jpg;-3.703284800000;40.419955600000;;;Accommodation;Hoteles,
1196;Four Seasons Hotel Madrid;DemoEM;1196;Four Seasons Hotel Madrid está ubicado en el Complejo Canalejas, un espacio reformado de más de&nbsp,50 000 m2 donde anteriormente se situaban siete edificios históricos pertenecientes a antiguos bancos. De ellos, se conservan más de 3700 artef;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/four_seasons_madrid_gym_-_copia.jpg;-3.700388000000;40.417008900000;;;Accommodation;Hoteles,
1197;Apartahotel Las Matas Tartesos;DemoEM;1197;Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.Situados en Las Rozas, loc;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/aparthotel_tartesos.jpg;-3.890689000000;40.531696400000;;;Accommodation;Apartahoteles,
1198;Hotel Las Gacelas;DemoEM;1198;Este alojamiento forma parte de los hoteles de guardia de la Comunidad de Madrid considerados como servicio esencial según la Orden TMA/305/2020 de 30 de marzo, del Ministerio de Transportes, Movilidad y Agenda Urbana.&nbsp,En plena naturaleza,;http://www.esmadrid.com/sites/default/files/recursosturisticos/alojamientos/hotel_las_gacelas_6.jpg;-3.994158000000;40.710999500000;;;Accommodation;Hoteles,
